"SampDate","SpName","TagNo","TL_mm","WT_g","Sex_MFU"
2005-11-01,"Atlantic Salmon","D5210","557","1500","M"
2005-11-07,"Atlantic Salmon","D5229","520","1610","F"
2005-11-09,"Atlantic Salmon","D5231","564","1900","F"
2005-11-16,"Atlantic Salmon","D5232","520","2900","F"
2005-11-16,"Atlantic Salmon","D5233","505","1400","M"
2005-11-16,"Atlantic Salmon","D5234","585","2700","F"
2006-09-21,"Atlantic Salmon","D5213","500","1000","M"
2006-09-27,"Atlantic Salmon","D5214","560","1500","M"
2006-09-27,"Atlantic Salmon","D5215","605","1800","M"
2006-09-28,"Atlantic Salmon","D5828","460","1000","F"
2006-09-28,"Atlantic Salmon","D5829","514",NA,"F"
2006-09-28,"Atlantic Salmon","not tagged","518",NA,"M"
2006-10-03,"Atlantic Salmon","D5216","520","1560","F"
2006-10-05,"Atlantic Salmon","D5217","530","1200","M"
2006-10-06,"Atlantic Salmon","D5218","553","1600","M"
2006-10-06,"Atlantic Salmon","D5219","550","1650","M"
